Symptom Feature,Dataset Occurrences,Frequency Percentage,Severity Weight
abdominal_pain,1032,20.98%,4
abnormal_menstruation,240,4.88%,6
acidity,222,4.51%,3
acute_liver_failure,114,2.32%,6
altered_sensorium,114,2.32%,2
anxiety,114,2.32%,4
back_pain,228,4.63%,3
belly_pain,114,2.32%,4
blackheads,108,2.20%,2
bladder_discomfort,114,2.32%,4
blister,114,2.32%,4
blood_in_sputum,120,2.44%,5
bloody_stool,114,2.32%,5
blurred_and_distorted_vision,342,6.95%,5
breathlessness,450,9.15%,4
brittle_nails,120,2.44%,5
bruising,114,2.32%,4
burning_micturition,216,4.39%,6
chest_pain,696,14.15%,7
chills,798,16.22%,3
cold_hands_and_feets,114,2.32%,5
coma,120,2.44%,7
congestion,120,2.44%,5
constipation,228,4.63%,4
continuous_feel_of_urine,114,2.32%,6
continuous_sneezing,222,4.51%,4
cough,564,11.46%,4
cramps,114,2.32%,4
dark_urine,570,11.59%,4
dehydration,108,2.20%,4
depression,234,4.76%,3
diarrhoea,564,11.46%,6
dischromic _patches,108,2.20%,N/A
distention_of_abdomen,114,2.32%,4
dizziness,336,6.83%,4
drying_and_tingling_lips,114,2.32%,4
enlarged_thyroid,120,2.44%,6
excessive_hunger,462,9.39%,4
extra_marital_contacts,108,2.20%,5
family_history,228,4.63%,5
fast_heart_rate,234,4.76%,5
fatigue,1932,39.27%,4
fluid_overload,114,2.32%,4
fluid_overload,114,2.32%,4
foul_smell_of urine,102,2.07%,N/A
headache,1134,23.05%,3
high_fever,1362,27.68%,7
hip_joint_pain,114,2.32%,2
history_of_alcohol_consumption,114,2.32%,5
increased_appetite,120,2.44%,5
indigestion,222,4.51%,5
inflammatory_nails,114,2.32%,2
internal_itching,114,2.32%,4
irregular_sugar_level,114,2.32%,5
irritability,474,9.63%,2
irritation_in_anus,114,2.32%,6
itching,678,13.78%,1
joint_pain,684,13.90%,3
knee_pain,114,2.32%,3
lack_of_concentration,114,2.32%,3
lethargy,456,9.27%,2
loss_of_appetite,1152,23.41%,4
loss_of_balance,342,6.95%,4
loss_of_smell,120,2.44%,3
malaise,702,14.27%,6
mild_fever,354,7.20%,5
mood_swings,228,4.63%,3
movement_stiffness,114,2.32%,5
mucoid_sputum,114,2.32%,4
muscle_pain,474,9.63%,2
muscle_wasting,108,2.20%,3
muscle_weakness,234,4.76%,2
nausea,1146,23.29%,5
neck_pain,228,4.63%,5
nodal_skin_eruptions,108,2.20%,4
obesity,228,4.63%,4
pain_behind_the_eyes,120,2.44%,4
pain_during_bowel_movements,114,2.32%,5
pain_in_anal_region,114,2.32%,6
painful_walking,228,4.63%,2
palpitations,120,2.44%,4
passage_of_gases,114,2.32%,5
patches_in_throat,108,2.20%,6
phlegm,354,7.20%,5
polyuria,120,2.44%,4
prominent_veins_on_calf,114,2.32%,6
puffy_face_and_eyes,114,2.32%,5
pus_filled_pimples,108,2.20%,2
receiving_blood_transfusion,120,2.44%,5
receiving_unsterile_injections,120,2.44%,2
red_sore_around_nose,114,2.32%,2
red_spots_over_body,234,4.76%,3
redness_of_eyes,120,2.44%,5
restlessness,228,4.63%,5
runny_nose,120,2.44%,5
rusty_sputum,120,2.44%,4
scurring,108,2.20%,2
shivering,108,2.20%,5
silver_like_dusting,114,2.32%,2
sinus_pressure,120,2.44%,4
skin_peeling,114,2.32%,3
skin_rash,786,15.98%,3
slurred_speech,120,2.44%,4
small_dents_in_nails,114,2.32%,2
spinning_movements,108,2.20%,6
spotting_ urination,108,2.20%,N/A
stiff_neck,228,4.63%,4
stomach_bleeding,120,2.44%,6
stomach_pain,222,4.51%,5
sunken_eyes,108,2.20%,3
sweating,678,13.78%,3
swelled_lymph_nodes,348,7.07%,6
swelling_joints,228,4.63%,5
swelling_of_stomach,114,2.32%,7
swollen_blood_vessels,108,2.20%,5
swollen_extremeties,120,2.44%,5
swollen_legs,114,2.32%,5
throat_irritation,120,2.44%,4
toxic_look_(typhos),114,2.32%,5
ulcers_on_tongue,108,2.20%,4
unsteadiness,114,2.32%,4
visual_disturbances,114,2.32%,3
vomiting,1914,38.90%,5
watering_from_eyes,108,2.20%,4
weakness_in_limbs,108,2.20%,7
weakness_of_one_body_side,108,2.20%,4
weight_gain,114,2.32%,3
weight_loss,456,9.27%,3
yellow_crust_ooze,114,2.32%,3
yellow_urine,114,2.32%,4
yellowing_of_eyes,816,16.59%,4
yellowish_skin,912,18.54%,3
